ModelCode;EntityClassCode;KeyCode;KeyType;IsPrimaryKey;IsAlternateKey;IsForeignKey;Stereotype;Comment;Description;Annotation;AttributeCode;AttributeOrder
AL1_CostsActual_PDM;CO_CostActual_PerFact;PK_COCostActual_PerFact;<pk>;1;0;0;NULL;NULL;NULL;NULL;Dummy;1
AL1_CostsMaintenance_PDM;CO_CostMaintenance_PerFact;PK_COCostMaintenance_PerFact;<pk>;1;0;0;NULL;NULL;NULL;NULL;Dummy;1
AL1_MERM_DCTesting_PDM;TestCaseExecutionResultSnapshot_MFCTS;PK_TestCase ExecutionResult Snapshot_MFCTS;<pk>;1;0;0;NULL;NULL;NULL;NULL;LoadDate;5
AL1_MERM_DCTesting_PDM;TestCaseExecutionResultSnapshot_MFCTS;PK_TestCase ExecutionResult Snapshot_MFCTS;<pk>;1;0;0;NULL;NULL;NULL;NULL;RowId;4
AL1_MERM_DCTesting_PDM;TestCaseExecutionResultSnapshot_MFCTS;PK_TestCase ExecutionResult Snapshot_MFCTS;<pk>;1;0;0;NULL;NULL;NULL;NULL;SourceSystem_PK;3
AL1_MERM_DCTesting_PDM;TestCaseExecutionResultSnapshot_MFCTS;PK_TestCase ExecutionResult Snapshot_MFCTS;<pk>;1;0;0;NULL;NULL;NULL;NULL;TestCase_PK;2
AL1_MERM_DCTesting_PDM;TestCaseExecutionResultSnapshot_MFCTS;PK_TestCase ExecutionResult Snapshot_MFCTS;<pk>;1;0;0;NULL;NULL;NULL;NULL;UseCase_PK;1
AL1_MERM_DCTesting_PDM;TestCaseMessage_MREF0_XX_L;PK_TestCase Message_MREF0_XX_L;<pk>;1;0;0;NULL;NULL;NULL;NULL;LanguageCode_PK;3
AL1_MERM_DCTesting_PDM;TestCaseMessage_MREF0_XX_L;PK_TestCase Message_MREF0_XX_L;<pk>;1;0;0;NULL;NULL;NULL;NULL;LoadDate;4
AL1_MERM_DCTesting_PDM;TestCaseMessage_MREF0_XX_L;PK_TestCase Message_MREF0_XX_L;<pk>;1;0;0;NULL;NULL;NULL;NULL;MessageId_PK;2
AL1_MERM_DCTesting_PDM;TestCaseMessage_MREF0_XX_L;PK_TestCase Message_MREF0_XX_L;<pk>;1;0;0;NULL;NULL;NULL;NULL;UseCase_PK;1
AL1_MERM_DCTesting_PDM;TestCaseUspMapping_MREF0_XX_L;PK_TestCase Usp Mapping_MREF0_XX_L;<pk>;1;0;0;NULL;NULL;NULL;NULL;LoadDate;3
AL1_MERM_DCTesting_PDM;TestCaseUspMapping_MREF0_XX_L;PK_TestCase Usp Mapping_MREF0_XX_L;<pk>;1;0;0;NULL;NULL;NULL;NULL;TestCase_PK;2
AL1_MERM_DCTesting_PDM;TestCaseUspMapping_MREF0_XX_L;PK_TestCase Usp Mapping_MREF0_XX_L;<pk>;1;0;0;NULL;NULL;NULL;NULL;UseCase_PK;1
AL2_MERM_RnDTesting_PDM;RnDTest_WBSElementActivityType001_MFCTS;PK_RnDTest_WBSElementActivityType001_MFCTS;<pk>;1;0;0;NULL;NULL;NULL;NULL;LoadDate;5
AL2_MERM_RnDTesting_PDM;RnDTest_WBSElementActivityType001_MFCTS;PK_RnDTest_WBSElementActivityType001_MFCTS;<pk>;1;0;0;NULL;NULL;NULL;NULL;RowId;4
AL2_MERM_RnDTesting_PDM;RnDTest_WBSElementActivityType001_MFCTS;PK_RnDTest_WBSElementActivityType001_MFCTS;<pk>;1;0;0;NULL;NULL;NULL;NULL;SourceSystem_PK;3
AL2_MERM_RnDTesting_PDM;RnDTest_WBSElementActivityType001_MFCTS;PK_RnDTest_WBSElementActivityType001_MFCTS;<pk>;1;0;0;NULL;NULL;NULL;NULL;TestCase_PK;2
AL2_MERM_RnDTesting_PDM;RnDTest_WBSElementActivityType001_MFCTS;PK_RnDTest_WBSElementActivityType001_MFCTS;<pk>;1;0;0;NULL;NULL;NULL;NULL;UseCase_PK;1
AL2_MERM_RnDTesting_PDM;RnDTest_WBSElementSettlementRules001_MFCTS;PK_RnDTest_WBSElementSettlementRules001_MFCTS;<pk>;1;0;0;NULL;NULL;NULL;NULL;LoadDate;5
AL2_MERM_RnDTesting_PDM;RnDTest_WBSElementSettlementRules001_MFCTS;PK_RnDTest_WBSElementSettlementRules001_MFCTS;<pk>;1;0;0;NULL;NULL;NULL;NULL;RowId;4
AL2_MERM_RnDTesting_PDM;RnDTest_WBSElementSettlementRules001_MFCTS;PK_RnDTest_WBSElementSettlementRules001_MFCTS;<pk>;1;0;0;NULL;NULL;NULL;NULL;SourceSystem_PK;3
AL2_MERM_RnDTesting_PDM;RnDTest_WBSElementSettlementRules001_MFCTS;PK_RnDTest_WBSElementSettlementRules001_MFCTS;<pk>;1;0;0;NULL;NULL;NULL;NULL;TestCase_PK;2
AL2_MERM_RnDTesting_PDM;RnDTest_WBSElementSettlementRules001_MFCTS;PK_RnDTest_WBSElementSettlementRules001_MFCTS;<pk>;1;0;0;NULL;NULL;NULL;NULL;UseCase_PK;1
CL1_Accounting_DV;AccountingDocumentBSItem_WHUB0_SL;AK_AccountingDocumentBSItem_WHUB0_SL;<ak>;0;1;0;NULL;NULL;NULL;NULL;AccountingDocumentBSItem_BK;5
CL1_Accounting_DV;AccountingDocumentBSItem_WHUB0_SL;AK_AccountingDocumentBSItem_WHUB0_SL;<ak>;0;1;0;NULL;NULL;NULL;NULL;AccountingDocumentNumber_BK;4
CL1_Accounting_DV;AccountingDocumentBSItem_WHUB0_SL;AK_AccountingDocumentBSItem_WHUB0_SL;<ak>;0;1;0;NULL;NULL;NULL;NULL;CompanyCode_BK;3
CL1_Accounting_DV;AccountingDocumentBSItem_WHUB0_SL;AK_AccountingDocumentBSItem_WHUB0_SL;<ak>;0;1;0;NULL;NULL;NULL;NULL;FiscalYear_BK;2
CL1_Accounting_DV;AccountingDocumentBSItem_WHUB0_SL;AK_AccountingDocumentBSItem_WHUB0_SL;<ak>;0;1;0;NULL;NULL;NULL;NULL;Ledger_BK;1
CL1_Accounting_DV;AccountingDocumentBSItem_WHUB0_SL;PK_AccountingDocumentBSItem_WHUB0_SL;<pk>;1;0;0;NULL;NULL;NULL;NULL;AccountingDocumentBSItem_HK;1
CL1_Accounting_DV;AccountingDocumentCustomerClearedItemToClearingDocument_BLNK0_G0;AK_AccountingDocumentCustomerClearedItemToClearingDocument_BLNK0_G0;<ak>;0;1;0;NULL;NULL;NULL;NULL;CustomerClearedItem_AccountingDocumentItem_HK;1
CL1_Accounting_DV;AccountingDocumentCustomerClearedItemToClearingDocument_BLNK0_G0;AK_AccountingDocumentCustomerClearedItemToClearingDocument_BLNK0_G0;<ak>;0;1;0;NULL;NULL;NULL;NULL;CustomerClearingDocumentHeader_AccountingDocumentHeader_HK;2
CL1_Accounting_DV;AccountingDocumentCustomerClearedItemToClearingDocument_BLNK0_G0;PK_AccountingDocumentCustomerClearedItemToClearingDocument_BLNK0_G0;<pk>;1;0;0;NULL;NULL;NULL;NULL;AccountingDocumentCustomerClearedItemToClearingDocument_HK;1
CL1_Accounting_DV;AccountingDocumentHeader_WHUB0_B2;AK_AccountingDocumentHeader_WHUB0_B2;<ak>;0;1;0;NULL;NULL;NULL;NULL;AccountingDocumentNumber_BK;4
CL1_Accounting_DV;AccountingDocumentHeader_WHUB0_B2;AK_AccountingDocumentHeader_WHUB0_B2;<ak>;0;1;0;NULL;NULL;NULL;NULL;CompanyCodeBK;3
CL1_Accounting_DV;AccountingDocumentHeader_WHUB0_B2;AK_AccountingDocumentHeader_WHUB0_B2;<ak>;0;1;0;NULL;NULL;NULL;NULL;FiscalYear_BK;2
CL1_Accounting_DV;AccountingDocumentHeader_WHUB0_B2;AK_AccountingDocumentHeader_WHUB0_B2;<ak>;0;1;0;NULL;NULL;NULL;NULL;SAPSystem;1
CL1_Accounting_DV;AccountingDocumentHeader_WHUB0_B2;PK_AccountingDocumentHeader_WHUB0_B2;<pk>;1;0;0;NULL;NULL;NULL;NULL;AccountingDocumentHeader_HK;1
CL1_Accounting_DV;AccountingDocumentHeader_WHUB0_D1;AK_AccountingDocumentHeader_WHUB0_D1;<ak>;0;1;0;NULL;NULL;NULL;NULL;AccountingDocumentNumber_BK;4
CL1_Accounting_DV;AccountingDocumentHeader_WHUB0_D1;AK_AccountingDocumentHeader_WHUB0_D1;<ak>;0;1;0;NULL;NULL;NULL;NULL;CompanyCodeBK;3
CL1_Accounting_DV;AccountingDocumentHeader_WHUB0_D1;AK_AccountingDocumentHeader_WHUB0_D1;<ak>;0;1;0;NULL;NULL;NULL;NULL;FiscalYear_BK;2
CL1_Accounting_DV;AccountingDocumentHeader_WHUB0_D1;AK_AccountingDocumentHeader_WHUB0_D1;<ak>;0;1;0;NULL;NULL;NULL;NULL;SAPSystem;1
CL1_Accounting_DV;AccountingDocumentHeader_WHUB0_D1;PK_AccountingDocumentHeader_WHUB0_D1;<pk>;1;0;0;NULL;NULL;NULL;NULL;AccountingDocumentHeader_HK;1
CL1_Accounting_DV;AccountingDocumentHeader_WHUB0_D3;AK_AccountingDocumentHeader_WHUB0_D3;<ak>;0;1;0;NULL;NULL;NULL;NULL;AccountingDocumentNumber_BK;4
CL1_Accounting_DV;AccountingDocumentHeader_WHUB0_D3;AK_AccountingDocumentHeader_WHUB0_D3;<ak>;0;1;0;NULL;NULL;NULL;NULL;CompanyCodeBK;3
CL1_Accounting_DV;AccountingDocumentHeader_WHUB0_D3;AK_AccountingDocumentHeader_WHUB0_D3;<ak>;0;1;0;NULL;NULL;NULL;NULL;FiscalYear_BK;2
CL1_Accounting_DV;AccountingDocumentHeader_WHUB0_D3;AK_AccountingDocumentHeader_WHUB0_D3;<ak>;0;1;0;NULL;NULL;NULL;NULL;SAPSystem;1
CL1_Accounting_DV;AccountingDocumentHeader_WHUB0_D3;PK_AccountingDocumentHeader_WHUB0_D3;<pk>;1;0;0;NULL;NULL;NULL;NULL;AccountingDocumentHeader_HK;1
CL1_Accounting_DV;AccountingDocumentHeader_WHUB0_G0;AK_AccountingDocumentHeader_WHUB0_G0;<ak>;0;1;0;NULL;NULL;NULL;NULL;AccountingDocumentNumber_BK;4
CL1_Accounting_DV;AccountingDocumentHeader_WHUB0_G0;AK_AccountingDocumentHeader_WHUB0_G0;<ak>;0;1;0;NULL;NULL;NULL;NULL;CompanyCodeBK;3
CL1_Accounting_DV;AccountingDocumentHeader_WHUB0_G0;AK_AccountingDocumentHeader_WHUB0_G0;<ak>;0;1;0;NULL;NULL;NULL;NULL;FiscalYear_BK;2
CL1_Accounting_DV;AccountingDocumentHeader_WHUB0_G0;AK_AccountingDocumentHeader_WHUB0_G0;<ak>;0;1;0;NULL;NULL;NULL;NULL;SAPSystem;1
CL1_Accounting_DV;AccountingDocumentHeader_WHUB0_G0;PK_AccountingDocumentHeader_WHUB0_G0;<pk>;1;0;0;NULL;NULL;NULL;NULL;AccountingDocumentHeader_HK;1
CL1_Accounting_DV;AccountingDocumentHeader_WHUB0_G2;AK_AccountingDocumentHeader_WHUB0_G2;<ak>;0;1;0;NULL;NULL;NULL;NULL;AccountingDocumentNumber_BK;4
CL1_Accounting_DV;AccountingDocumentHeader_WHUB0_G2;AK_AccountingDocumentHeader_WHUB0_G2;<ak>;0;1;0;NULL;NULL;NULL;NULL;CompanyCodeBK;3
CL1_Accounting_DV;AccountingDocumentHeader_WHUB0_G2;AK_AccountingDocumentHeader_WHUB0_G2;<ak>;0;1;0;NULL;NULL;NULL;NULL;FiscalYear_BK;2
CL1_Accounting_DV;AccountingDocumentHeader_WHUB0_G2;AK_AccountingDocumentHeader_WHUB0_G2;<ak>;0;1;0;NULL;NULL;NULL;NULL;SAPSystem;1
CL1_Accounting_DV;AccountingDocumentHeader_WHUB0_G2;PK_AccountingDocumentHeader_WHUB0_G2;<pk>;1;0;0;NULL;NULL;NULL;NULL;AccountingDocumentHeader_HK;1
CL1_Accounting_DV;AccountingDocumentHeader_WHUB0_G4;AK_AccountingDocumentHeader_WHUB0_G4;<ak>;0;1;0;NULL;NULL;NULL;NULL;AccountingDocumentNumber_BK;4
CL1_Accounting_DV;AccountingDocumentHeader_WHUB0_G4;AK_AccountingDocumentHeader_WHUB0_G4;<ak>;0;1;0;NULL;NULL;NULL;NULL;CompanyCodeBK;3
CL1_Accounting_DV;AccountingDocumentHeader_WHUB0_G4;AK_AccountingDocumentHeader_WHUB0_G4;<ak>;0;1;0;NULL;NULL;NULL;NULL;FiscalYear_BK;2
CL1_Accounting_DV;AccountingDocumentHeader_WHUB0_G4;AK_AccountingDocumentHeader_WHUB0_G4;<ak>;0;1;0;NULL;NULL;NULL;NULL;SAPSystem;1
CL1_Accounting_DV;AccountingDocumentHeader_WHUB0_G4;PK_AccountingDocumentHeader_WHUB0_G4;<pk>;1;0;0;NULL;NULL;NULL;NULL;AccountingDocumentHeader_HK;1
CL1_Accounting_DV;AccountingDocumentHeader_WHUB0_G5;AK_AccountingDocumentHeader_WHUB0_G5;<ak>;0;1;0;NULL;NULL;NULL;NULL;AccountingDocumentNumber_BK;4
CL1_Accounting_DV;AccountingDocumentHeader_WHUB0_G5;AK_AccountingDocumentHeader_WHUB0_G5;<ak>;0;1;0;NULL;NULL;NULL;NULL;CompanyCodeBK;3
CL1_Accounting_DV;AccountingDocumentHeader_WHUB0_G5;AK_AccountingDocumentHeader_WHUB0_G5;<ak>;0;1;0;NULL;NULL;NULL;NULL;FiscalYear_BK;2
CL1_Accounting_DV;AccountingDocumentHeader_WHUB0_G5;AK_AccountingDocumentHeader_WHUB0_G5;<ak>;0;1;0;NULL;NULL;NULL;NULL;SAPSystem;1
CL1_Accounting_DV;AccountingDocumentHeader_WHUB0_G5;PK_AccountingDocumentHeader_WHUB0_G5;<pk>;1;0;0;NULL;NULL;NULL;NULL;AccountingDocumentHeader_HK;1
CL1_Accounting_DV;AccountingDocumentHeader_WHUB0_SL;AK_AccountingDocumentHeader_WHUB0_SL;<ak>;0;1;0;NULL;NULL;NULL;NULL;AccountingDocumentNumber_BK;4
CL1_Accounting_DV;AccountingDocumentHeader_WHUB0_SL;AK_AccountingDocumentHeader_WHUB0_SL;<ak>;0;1;0;NULL;NULL;NULL;NULL;CompanyCode_BK;3
CL1_Accounting_DV;AccountingDocumentHeader_WHUB0_SL;AK_AccountingDocumentHeader_WHUB0_SL;<ak>;0;1;0;NULL;NULL;NULL;NULL;FiscalYear_BK;2
CL1_Accounting_DV;AccountingDocumentHeader_WHUB0_SL;AK_AccountingDocumentHeader_WHUB0_SL;<ak>;0;1;0;NULL;NULL;NULL;NULL;Ledger_BK;1
CL1_Accounting_DV;AccountingDocumentHeader_WHUB0_SL;PK_AccountingDocumentHeader_WHUB0_SL;<pk>;1;0;0;NULL;NULL;NULL;NULL;AccountingDocumentHeader_HK;1
CL1_Accounting_DV;AccountingDocumentItem_WHUB0_B2;AK_AccountingDocumentItem_WHUB0_B2;<ak>;0;1;0;NULL;NULL;NULL;NULL;AccountingDocumentLineItem_BK;5
CL1_Accounting_DV;AccountingDocumentItem_WHUB0_B2;AK_AccountingDocumentItem_WHUB0_B2;<ak>;0;1;0;NULL;NULL;NULL;NULL;AccountingDocumentNumber_BK;4
CL1_Accounting_DV;AccountingDocumentItem_WHUB0_B2;AK_AccountingDocumentItem_WHUB0_B2;<ak>;0;1;0;NULL;NULL;NULL;NULL;CompanyCode_BK;3
CL1_Accounting_DV;AccountingDocumentItem_WHUB0_B2;AK_AccountingDocumentItem_WHUB0_B2;<ak>;0;1;0;NULL;NULL;NULL;NULL;FiscalYear_BK;2
CL1_Accounting_DV;AccountingDocumentItem_WHUB0_B2;AK_AccountingDocumentItem_WHUB0_B2;<ak>;0;1;0;NULL;NULL;NULL;NULL;SAPSystem;1
CL1_Accounting_DV;AccountingDocumentItem_WHUB0_B2;PK_AccountingDocumentItem_WHUB0_B2;<pk>;1;0;0;NULL;NULL;NULL;NULL;AccountingDocumentItem_HK;1
CL1_Accounting_DV;AccountingDocumentItem_WHUB0_D1;AK_AccountingDocumentItem_WHUB0_D1;<ak>;0;1;0;NULL;NULL;NULL;NULL;AccountingDocumentLineItem_BK;5
CL1_Accounting_DV;AccountingDocumentItem_WHUB0_D1;AK_AccountingDocumentItem_WHUB0_D1;<ak>;0;1;0;NULL;NULL;NULL;NULL;AccountingDocumentNumber_BK;4
CL1_Accounting_DV;AccountingDocumentItem_WHUB0_D1;AK_AccountingDocumentItem_WHUB0_D1;<ak>;0;1;0;NULL;NULL;NULL;NULL;CompanyCode_BK;3
CL1_Accounting_DV;AccountingDocumentItem_WHUB0_D1;AK_AccountingDocumentItem_WHUB0_D1;<ak>;0;1;0;NULL;NULL;NULL;NULL;FiscalYear_BK;2
CL1_Accounting_DV;AccountingDocumentItem_WHUB0_D1;AK_AccountingDocumentItem_WHUB0_D1;<ak>;0;1;0;NULL;NULL;NULL;NULL;SAPSystem;1
CL1_Accounting_DV;AccountingDocumentItem_WHUB0_D1;PK_AccountingDocumentItem_WHUB0_D1;<pk>;1;0;0;NULL;NULL;NULL;NULL;AccountingDocumentItem_HK;1
CL1_Accounting_DV;AccountingDocumentItem_WHUB0_D3;AK_AccountingDocumentItem_WHUB0_D3;<ak>;0;1;0;NULL;NULL;NULL;NULL;AccountingDocumentLineItem_BK;5
CL1_Accounting_DV;AccountingDocumentItem_WHUB0_D3;AK_AccountingDocumentItem_WHUB0_D3;<ak>;0;1;0;NULL;NULL;NULL;NULL;AccountingDocumentNumber_BK;4
CL1_Accounting_DV;AccountingDocumentItem_WHUB0_D3;AK_AccountingDocumentItem_WHUB0_D3;<ak>;0;1;0;NULL;NULL;NULL;NULL;CompanyCode_BK;3
CL1_Accounting_DV;AccountingDocumentItem_WHUB0_D3;AK_AccountingDocumentItem_WHUB0_D3;<ak>;0;1;0;NULL;NULL;NULL;NULL;FiscalYear_BK;2
CL1_Accounting_DV;AccountingDocumentItem_WHUB0_D3;AK_AccountingDocumentItem_WHUB0_D3;<ak>;0;1;0;NULL;NULL;NULL;NULL;SAPSystem;1
CL1_Accounting_DV;AccountingDocumentItem_WHUB0_D3;PK_AccountingDocumentItem_WHUB0_D3;<pk>;1;0;0;NULL;NULL;NULL;NULL;AccountingDocumentItem_HK;1
CL1_Accounting_DV;AccountingDocumentItem_WHUB0_G0;AK_AccountingDocumentItem_WHUB0_G0;<ak>;0;1;0;NULL;NULL;NULL;NULL;AccountingDocumentLineItem_BK;5
CL1_Accounting_DV;AccountingDocumentItem_WHUB0_G0;AK_AccountingDocumentItem_WHUB0_G0;<ak>;0;1;0;NULL;NULL;NULL;NULL;AccountingDocumentNumber_BK;4
CL1_Accounting_DV;AccountingDocumentItem_WHUB0_G0;AK_AccountingDocumentItem_WHUB0_G0;<ak>;0;1;0;NULL;NULL;NULL;NULL;CompanyCode_BK;3
CL1_Accounting_DV;AccountingDocumentItem_WHUB0_G0;AK_AccountingDocumentItem_WHUB0_G0;<ak>;0;1;0;NULL;NULL;NULL;NULL;FiscalYear_BK;2
CL1_Accounting_DV;AccountingDocumentItem_WHUB0_G0;AK_AccountingDocumentItem_WHUB0_G0;<ak>;0;1;0;NULL;NULL;NULL;NULL;SAPSystem;1
CL1_Accounting_DV;AccountingDocumentItem_WHUB0_G0;PK_AccountingDocumentItem_WHUB0_G0;<pk>;1;0;0;NULL;NULL;NULL;NULL;AccountingDocumentItem_HK;1
CL1_Accounting_DV;AccountingDocumentItem_WHUB0_G2;AK_AccountingDocumentItem_WHUB0_G2;<ak>;0;1;0;NULL;NULL;NULL;NULL;AccountingDocumentLineItem_BK;5
CL1_Accounting_DV;AccountingDocumentItem_WHUB0_G2;AK_AccountingDocumentItem_WHUB0_G2;<ak>;0;1;0;NULL;NULL;NULL;NULL;AccountingDocumentNumber_BK;4
CL1_Accounting_DV;AccountingDocumentItem_WHUB0_G2;AK_AccountingDocumentItem_WHUB0_G2;<ak>;0;1;0;NULL;NULL;NULL;NULL;CompanyCode_BK;3
CL1_Accounting_DV;AccountingDocumentItem_WHUB0_G2;AK_AccountingDocumentItem_WHUB0_G2;<ak>;0;1;0;NULL;NULL;NULL;NULL;FiscalYear_BK;2
CL1_Accounting_DV;AccountingDocumentItem_WHUB0_G2;AK_AccountingDocumentItem_WHUB0_G2;<ak>;0;1;0;NULL;NULL;NULL;NULL;SAPSystem;1
CL1_Accounting_DV;AccountingDocumentItem_WHUB0_G2;PK_AccountingDocumentItem_WHUB0_G2;<pk>;1;0;0;NULL;NULL;NULL;NULL;AccountingDocumentItem_HK;1
CL1_Accounting_DV;AccountingDocumentItem_WHUB0_G4;AK_AccountingDocumentItem_WHUB0_G4;<ak>;0;1;0;NULL;NULL;NULL;NULL;AccountingDocumentLineItem_BK;5
CL1_Accounting_DV;AccountingDocumentItem_WHUB0_G4;AK_AccountingDocumentItem_WHUB0_G4;<ak>;0;1;0;NULL;NULL;NULL;NULL;AccountingDocumentNumber_BK;4
CL1_Accounting_DV;AccountingDocumentItem_WHUB0_G4;AK_AccountingDocumentItem_WHUB0_G4;<ak>;0;1;0;NULL;NULL;NULL;NULL;CompanyCode_BK;3
CL1_Accounting_DV;AccountingDocumentItem_WHUB0_G4;AK_AccountingDocumentItem_WHUB0_G4;<ak>;0;1;0;NULL;NULL;NULL;NULL;FiscalYear_BK;2
CL1_Accounting_DV;AccountingDocumentItem_WHUB0_G4;AK_AccountingDocumentItem_WHUB0_G4;<ak>;0;1;0;NULL;NULL;NULL;NULL;SAPSystem;1
CL1_Accounting_DV;AccountingDocumentItem_WHUB0_G4;PK_AccountingDocumentItem_WHUB0_G4;<pk>;1;0;0;NULL;NULL;NULL;NULL;AccountingDocumentItem_HK;1
CL1_Accounting_DV;AccountingDocumentItem_WHUB0_G5;AK_AccountingDocumentItem_WHUB0_G5;<ak>;0;1;0;NULL;NULL;NULL;NULL;AccountingDocumentLineItem_BK;5
CL1_Accounting_DV;AccountingDocumentItem_WHUB0_G5;AK_AccountingDocumentItem_WHUB0_G5;<ak>;0;1;0;NULL;NULL;NULL;NULL;AccountingDocumentNumber_BK;4
CL1_Accounting_DV;AccountingDocumentItem_WHUB0_G5;AK_AccountingDocumentItem_WHUB0_G5;<ak>;0;1;0;NULL;NULL;NULL;NULL;CompanyCode_BK;3
CL1_Accounting_DV;AccountingDocumentItem_WHUB0_G5;AK_AccountingDocumentItem_WHUB0_G5;<ak>;0;1;0;NULL;NULL;NULL;NULL;FiscalYear_BK;2
CL1_Accounting_DV;AccountingDocumentItem_WHUB0_G5;AK_AccountingDocumentItem_WHUB0_G5;<ak>;0;1;0;NULL;NULL;NULL;NULL;SAPSystem;1
CL1_Accounting_DV;AccountingDocumentItem_WHUB0_G5;PK_AccountingDocumentItem_WHUB0_G5;<pk>;1;0;0;NULL;NULL;NULL;NULL;AccountingDocumentItem_HK;1
CL1_Accounting_DV;AccountingDocumentPnLItem_WHUB0_SL;AK_AccountingDocumentPnLItem_WHUB0_SL;<ak>;0;1;0;NULL;NULL;NULL;NULL;AccountingDocumentNumber_BK;4
CL1_Accounting_DV;AccountingDocumentPnLItem_WHUB0_SL;AK_AccountingDocumentPnLItem_WHUB0_SL;<ak>;0;1;0;NULL;NULL;NULL;NULL;AccountingDocumentPnLItem_BK;5
CL1_Accounting_DV;AccountingDocumentPnLItem_WHUB0_SL;AK_AccountingDocumentPnLItem_WHUB0_SL;<ak>;0;1;0;NULL;NULL;NULL;NULL;CompanyCode_BK;3
CL1_Accounting_DV;AccountingDocumentPnLItem_WHUB0_SL;AK_AccountingDocumentPnLItem_WHUB0_SL;<ak>;0;1;0;NULL;NULL;NULL;NULL;FiscalYear_BK;2
CL1_Accounting_DV;AccountingDocumentPnLItem_WHUB0_SL;AK_AccountingDocumentPnLItem_WHUB0_SL;<ak>;0;1;0;NULL;NULL;NULL;NULL;Ledger_BK;1
CL1_Accounting_DV;AccountingDocumentPnLItem_WHUB0_SL;PK_AccountingDocumentPnLItem_WHUB0_SL;<pk>;1;0;0;NULL;NULL;NULL;NULL;AccountingDocumentPnLItem_HK;1
CL1_Accounting_DV;GLAccount_GPM_WHUB0;AK_GL Account_GPM_WHUB0;<ak>;0;1;0;NULL;NULL;NULL;NULL;ChartOfAccounts_BK;1
CL1_Accounting_DV;GLAccount_GPM_WHUB0;AK_GL Account_GPM_WHUB0;<ak>;0;1;0;NULL;NULL;NULL;NULL;GLAccount_BK;2
CL1_Accounting_DV;GLAccount_GPM_WHUB0;PK_GL Account_GPM_WHUB0;<pk>;1;0;0;NULL;NULL;NULL;NULL;GLAccount_GPM_HK;1
CL1_Accounting_DV;GLAccount_WHUB0;AK_GLAccount_WHUB0;<ak>;0;1;0;NULL;NULL;NULL;NULL;ChartOfAccounts_BK;1
CL1_Accounting_DV;GLAccount_WHUB0;AK_GLAccount_WHUB0;<ak>;0;1;0;NULL;NULL;NULL;NULL;GLAccount_BK;2
CL1_Accounting_DV;GLAccount_WHUB0;PK_GLAccount_WHUB0;<pk>;1;0;0;NULL;NULL;NULL;NULL;GLAccount_HK;1
CL1_Accounting_DV;GLAccountGPMToGLAccount_BLNK0;AK_GL Account GPM To GL Account_BLNK0;<ak>;0;1;0;NULL;NULL;NULL;NULL;GLAccount_GPM_HK;1
CL1_Accounting_DV;GLAccountGPMToGLAccount_BLNK0;AK_GL Account GPM To GL Account_BLNK0;<ak>;0;1;0;NULL;NULL;NULL;NULL;GLAccount_HK;2
CL1_Accounting_DV;GLAccountGPMToGLAccount_BLNK0;PK_GL Account GPM To GL Account_BLNK0;<pk>;1;0;0;NULL;NULL;NULL;NULL;GLAccountGPMToGLAccount_HK;1
CL1_Accounting_DV;Ref_GL_Account_Hierarchy_RB_E_XBIT_WREF0;PK_Ref_GL_Account_Hierarchy_RB_E_XBIT_WREF0;<pk>;1;0;0;NULL;NULL;NULL;NULL;VALFROM_VALTO;1
CL1_Authorization_DV;Role_WHUB0;AK_Role_WHUB0;<ak>;0;1;0;NULL;NULL;NULL;NULL;RoleName_BK;1
CL1_Authorization_DV;Role_WHUB0;PK_Role_WHUB0;<pk>;1;0;0;NULL;NULL;NULL;NULL;Role_HK;1
CL1_Authorization_DV;RoleAssignment_WLNK0;AK_Role Assignment_WLNK0;<ak>;0;1;0;NULL;NULL;NULL;NULL;Role_HK;2
CL1_Authorization_DV;RoleAssignment_WLNK0;AK_Role Assignment_WLNK0;<ak>;0;1;0;NULL;NULL;NULL;NULL;User_HK;1
CL1_Authorization_DV;RoleAssignment_WLNK0;PK_Role Assignment_WLNK0;<pk>;1;0;0;NULL;NULL;NULL;NULL;RoleAssignment_HK;1
CL1_Authorization_DV;User_WHUB0;AK_User_WHUB0;<ak>;0;1;0;NULL;NULL;NULL;NULL;UserId_BK;1
CL1_Authorization_DV;User_WHUB0;PK_User_WHUB0;<pk>;1;0;0;NULL;NULL;NULL;NULL;User_HK;1
CL1_Controlling_DV;ActivityType_WHUB0;AK_Activity Type_WHUB0;<ak>;0;1;0;NULL;NULL;NULL;NULL;ActivityType_ID_BK;2
CL1_Controlling_DV;ActivityType_WHUB0;AK_Activity Type_WHUB0;<ak>;0;1;0;NULL;NULL;NULL;NULL;ControllingAreaID_BK;1
CL1_Controlling_DV;ActivityType_WHUB0;PK_ACTIVITY_TYPE_WHUB0;<pk>;1;0;0;NULL;NULL;NULL;NULL;ActivityType_HK;1
CL1_Controlling_DV;AssetClass_WHUB0;AK_AssetClass_WHUB0;<ak>;0;1;0;NULL;NULL;NULL;NULL;AssetClass_BK;1
CL1_Controlling_DV;AssetClass_WHUB0;PK_AssetClass_WHUB0;<pk>;1;0;0;NULL;NULL;NULL;NULL;AssetClass_HK;1
CL1_Controlling_DV;BusinessDivision_WHUB0;AK_BusinessDivision_WHUB0;<ak>;0;1;0;NULL;NULL;NULL;NULL;BusinessDivision_BK;1
